timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:51:11.664833,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42130,38
03/17/2025-22:51:11.665314,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42130,10.22.64.192,22,39
03/17/2025-22:51:11.674197,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42146,40
03/17/2025-22:51:11.674197,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42146,41
03/17/2025-22:51:11.674603,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42146,10.22.64.192,22,42
03/17/2025-22:51:11.688088,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42154,43
03/17/2025-22:51:11.688088,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42154,44
03/17/2025-22:51:11.688509,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42154,10.22.64.192,22,45
03/17/2025-22:51:11.698370,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42170,46
03/17/2025-22:51:11.698370,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42170,47
03/17/2025-22:51:11.699008,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42170,10.22.64.192,22,48
03/17/2025-22:51:11.702782,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42176,49
